Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Metro,1990,1,0,0,1,0,0,0,0,1
Metro,1995,1,0,0,1,0,0,0,0,1
Metro,2000,1,0,0,1,0,0,0,0,1
Metro,2005,1,0,0,1,0,0,0,0,1
Metro,2010,1,0,0,1,0,0,0.014304225,0,0.985695775
Metro,2015,1,0,0,0.99285,0.0048,0.00235,0.013173004,0,0.986826996
Metro,2020,1,0,0,0.7848,0.0096,0.2056,0.012041783,0,0.987958217
Metro,2025,0.95,0.05,0,0.7294,0.0096,0.261,0.012041783,0,0.987958217
Metro,2030,0.75,0.25,0,0.5934,0.0096,0.397,0.012041783,0,0.987958217
Metro,2035,0.25,0.75,0,0.2444,0.0096,0.746,0.012041783,0,0.987958217
Metro,2040,0,1,0,0,0,1,0.012041783,0,0.987958217
Metro,2045,0,1,0,0,0,1,0.012041783,0,0.987958217
Metro,2050,0,1,0,0,0,1,0.012041783,0,0.987958217
Bend,1990,1,0,0,0.92713,0.06064,0.01223,0.012041783,0,0.987958217
Bend,1995,1,0,0,0.92713,0.06064,0.01223,0.012041783,0,0.987958217
Bend,2000,1,0,0,0.92713,0.06064,0.01223,0.012041783,0,0.987958217
Bend,2005,1,0,0,0.92713,0.06064,0.01223,0.012041783,0,0.987958217
Bend,2010,1,0,0,0.92713,0.06064,0.01223,0.012041783,0,0.987958217
Bend,2015,1,0,0,1,0,0,1,0,0
Bend,2020,1,0,0,1,0,0,1,0,0
Bend,2025,0.95,0.05,0,0.619,0,0.381,1,0,0
Bend,2030,0.75,0.25,0,0.304,0,0.696,1,0,0
Bend,2035,0.25,0.75,0,0,0,1,1,0,0
Bend,2040,0,1,0,0,0,1,1,0,0
Bend,2045,0,1,0,0,0,1,1,0,0
Bend,2050,0,1,0,0,0,1,1,0,0
Corvallis,1990,1,0,0,1,0,0,1,0,0
Corvallis,1995,1,0,0,1,0,0,1,0,0
Corvallis,2000,1,0,0,1,0,0,1,0,0
Corvallis,2005,1,0,0,1,0,0,1,0,0
Corvallis,2010,1,0,0,1,0,0,1,0,0
Corvallis,2015,1,0,0,1,0,0,1,0,0
Corvallis,2020,1,0,0,1,0,0,1,0,0
Corvallis,2025,0.95,0.05,0,0.632,0,0.368,1,0,0
Corvallis,2030,0.75,0.25,0,0.3,0,0.7,1,0,0
Corvallis,2035,0.25,0.75,0,0,0,1,1,0,0
Corvallis,2040,0,1,0,0,0,1,1,0,0
Corvallis,2045,0,1,0,0,0,1,1,0,0
Corvallis,2050,0,1,0,0,0,1,1,0,0
EugeneSpringfield,1990,1,0,0,1,0,0,1,0,0
EugeneSpringfield,1995,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2000,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2005,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2010,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2015,1,0,0,1,0,0,1,0,0
EugeneSpringfield,2020,1,0,0,0.9324,0,0.0676,1,0,0
EugeneSpringfield,2025,0.95,0.05,0,0.626,0,0.374,1,0,0
EugeneSpringfield,2030,0.75,0.25,0,0.277,0,0.723,1,0,0
EugeneSpringfield,2035,0.25,0.75,0,0,0,1,1,0,0
EugeneSpringfield,2040,0,1,0,0,0,1,1,0,0
EugeneSpringfield,2045,0,1,0,0,0,1,1,0,0
EugeneSpringfield,2050,0,1,0,0,0,1,1,0,0
RogueValley,1990,1,0,0,1,0,0,1,0,0
RogueValley,1995,1,0,0,1,0,0,1,0,0
RogueValley,2000,1,0,0,1,0,0,1,0,0
RogueValley,2005,1,0,0,1,0,0,1,0,0
RogueValley,2010,1,0,0,1,0,0,1,0,0
RogueValley,2015,1,0,0,1,0,0,1,0,0
RogueValley,2020,1,0,0,1,0,0,1,0,0
RogueValley,2025,0.4125,0.5875,0,1,0,0,1,0,0
RogueValley,2030,0.375,0.625,0,1,0,0,1,0,0
RogueValley,2035,0.3375,0.6625,0,1,0,0,1,0,0
RogueValley,2040,0.3,0.7,0,1,0,0,1,0,0
RogueValley,2045,0.3,0.7,0,1,0,0,1,0,0
RogueValley,2050,0.3,0.7,0,1,0,0,1,0,0
SalemKeizer,1990,1,0,0,1,0,0,1,0,0
SalemKeizer,1995,1,0,0,1,0,0,1,0,0
SalemKeizer,2000,1,0,0,1,0,0,1,0,0
SalemKeizer,2005,1,0,0,1,0,0,1,0,0
SalemKeizer,2010,1,0,0,1,0,0,1,0,0
SalemKeizer,2015,1,0,0,1,0,0,1,0,0
SalemKeizer,2020,1,0,0,1,0,0,1,0,0
SalemKeizer,2025,0.95,0.05,0,1,0,0,1,0,0
SalemKeizer,2030,0.75,0.25,0,1,0,0,1,0,0
SalemKeizer,2035,0.25,0.75,0,1,0,0,1,0,0
SalemKeizer,2040,0,1,0,1,0,0,1,0,0
SalemKeizer,2045,0,1,0,1,0,0,1,0,0
SalemKeizer,2050,0,1,0,1,0,0,1,0,0
Albany,1990,1,0,0,1,0,0,1,0,0
Albany,1995,1,0,0,1,0,0,1,0,0
Albany,2000,1,0,0,1,0,0,1,0,0
Albany,2005,1,0,0,1,0,0,1,0,0
Albany,2010,1,0,0,1,0,0,1,0,0
Albany,2015,1,0,0,1,0,0,1,0,0
Albany,2020,1,0,0,1,0,0,1,0,0
Albany,2025,0.95,0.05,0,0.632,0,0.368,1,0,0
Albany,2030,0.75,0.25,0,0.3,0,0.7,1,0,0
Albany,2035,0.25,0.75,0,0,0,1,1,0,0
Albany,2040,0,1,0,0,0,1,1,0,0
Albany,2045,0,1,0,0,0,1,1,0,0
Albany,2050,0,1,0,0,0,1,1,0,0
GrantsPass,1990,1,0,0,1,0,0,1,0,0
GrantsPass,1995,1,0,0,1,0,0,1,0,0
GrantsPass,2000,1,0,0,1,0,0,1,0,0
GrantsPass,2005,1,0,0,1,0,0,1,0,0
GrantsPass,2010,1,0,0,1,0,0,1,0,0
GrantsPass,2015,1,0,0,1,0,0,1,0,0
GrantsPass,2020,1,0,0,0.8125,0,0.1875,1,0,0
GrantsPass,2025,0.95,0.05,0,0.471,0,0.529,1,0,0
GrantsPass,2030,0.75,0.25,0,0.222,0,0.778,1,0,0
GrantsPass,2035,0.25,0.75,0,0,0,1,1,0,0
GrantsPass,2040,0,1,0,0,0,1,1,0,0
GrantsPass,2045,0,1,0,0,0,1,1,0,0
GrantsPass,2050,0,1,0,0,0,1,1,0,0
None,1990,0,0,1,1,0,0,0,0,1
None,1995,0,0,1,1,0,0,0,0,1
None,2000,0,0,1,1,0,0,0,0,1
None,2005,0,0,1,1,0,0,0,0,1
None,2010,0,0,1,1,0,0,0,0,1
None,2015,0,0,1,1,0,0,0,0,1
None,2020,0,0,1,1,0,0,0,0,1
None,2025,0,0,1,1,0,0,0,0,1
None,2030,0,0,1,1,0,0,0,0,1
None,2035,0,0,1,1,0,0,0,0,1
None,2040,0,0,1,1,0,0,0,0,1
None,2045,0,0,1,1,0,0,0,0,1
None,2050,0,0,1,1,0,0,0,0,1
